Locustag	Phylotype	SDP	Genbank_acc	IMG_acc
Ga0061072	firm5	firm5_6	NA	2617270727
Ga0061073	firm5	firm5_1	NA	2617270705
Ga0070887	firm5	firm5_4	NA	2636415759
Ga0072400	firm5	firm5_2	NA	2645727721
Ga0072402	firm5	firm5_1	NA	2630968657
Ga0072403	firm5	firm5_4	NA	2627854222
Ga0072404	firm5	firm5_3	NA	2639762991
Ga0133561	firm5	firm5_2	NA	2684622914
Ga0133562	firm5	firm5_3	NA	2684622913
Ga0133563	firm5	firm5_1	NA	2684622912
Ga0133564	firm5	firm5_4	NA	2684622911
Ga0225908	firm5	firm5_3	NA	2758568515
Ga0226839	firm5	firm5_4	NA	2758568514
Ga0226840	firm5	firm5_3	NA	2758568513
Ga0226842	firm5	firm5_1	NA	2758568511
Ga0226847	firm5	firm5_6	NA	2758568506
Ga0226852	firm5	firm5_5	NA	2758568501
Ga0227359	firm5	firm5_3	NA	2758568558
Ga0307804	firm5	firm5_7	NA	2785510748
Ga0311394	firm5	firm5_7	NA	2799112220
Ga0312303	firm5	firm5_7	NA	2799112229
Ga0312304	firm5	firm5_7	NA	2799112230
LACWKB10	firm5	firm5_4	JRJB01	NA
LACWKB8	firm5	firm5_2	CP009531	NA
