OG0000174: Ga0061073_0012 Ga0070887_120195 Ga0072400_10870 Ga0072402_105733 Ga0072403_115220 Ga0072404_110561 Ga0133561_111220 Ga0133562_121075 Ga0133563_111107 Ga0133564_111312 Ga0225908_10827 Ga0226839_109142 Ga0226840_112138 Ga0226842_104838 Ga0226843_107593 Ga0226847_106925 Ga0226852_108551 Ga0227359_100976 Ga0307804_111363 Ga0311394_111505 Ga0312303_111659 Ga0312304_111447 H3R21_00050 H3R22_00400 H3R25_04110 H3T43_02215 H3T47_06110 H3T48_02600 H3U49_00380 LACWKB10_1221 LACWKB8_1254
OG0000175: Ga0061073_0017 Ga0070887_120191 Ga0072400_10866 Ga0072402_105728 Ga0072403_115216 Ga0072404_110553 Ga0133561_111216 Ga0133562_121067 Ga0133563_111102 Ga0133564_111308 Ga0225908_10819 Ga0226839_109138 Ga0226840_112130 Ga0226842_104832 Ga0226843_107591 Ga0226847_106923 Ga0226852_108549 Ga0227359_100968 Ga0307804_111358 Ga0311394_111501 Ga0312303_111664 Ga0312304_111443 H3R21_00060 H3R22_00445 H3R25_04080 H3T43_02195 H3T47_06090 H3T48_02625 H3U49_00400 LACWKB10_1225 LACWKB8_1250
OG0000176: Ga0061073_0018 Ga0070887_120189 Ga0072400_10864 Ga0072402_105726 Ga0072403_115214 Ga0072404_110551 Ga0133561_111214 Ga0133562_121065 Ga0133563_111100 Ga0133564_111306 Ga0225908_10817 Ga0226839_109136 Ga0226840_112128 Ga0226842_104830 Ga0226843_107589 Ga0226847_106921 Ga0226852_108547 Ga0227359_100966 Ga0307804_111356 Ga0311394_111499 Ga0312303_111666 Ga0312304_111441 H3R21_00065 H3R22_00450 H3R25_04075 H3T43_02190 H3T47_06085 H3T48_02630 H3U49_00405 LACWKB10_1227 LACWKB8_1249
OG0000177: Ga0061073_0019 Ga0070887_120188 Ga0072400_10863 Ga0072402_105725 Ga0072403_115213 Ga0072404_110550 Ga0133561_111213 Ga0133562_121064 Ga0133563_111099 Ga0133564_111305 Ga0225908_10816 Ga0226839_109135 Ga0226840_112127 Ga0226842_104829 Ga0226843_107588 Ga0226847_106920 Ga0226852_108546 Ga0227359_100965 Ga0307804_111355 Ga0311394_111498 Ga0312303_111667 Ga0312304_111440 H3R21_00070 H3R22_00455 H3R25_04070 H3T43_02185 H3T47_06080 H3T48_02635 H3U49_00410 LACWKB10_1228 LACWKB8_1248
OG0000178: Ga0061073_0023 Ga0070887_120184 Ga0072400_10860 Ga0072402_105721 Ga0072403_115207 Ga0072404_110546 Ga0133561_111210 Ga0133562_121055 Ga0133563_111095 Ga0133564_111300 Ga0225908_10812 Ga0226839_109130 Ga0226840_112123 Ga0226842_104825 Ga0226843_107586 Ga0226847_106918 Ga0226852_108543 Ga0227359_100961 Ga0307804_111349 Ga0311394_111492 Ga0312303_111673 Ga0312304_111433 H3R21_00090 H3R22_00475 H3R25_04050 H3T43_02165 H3T47_06065 H3T48_02655 H3U49_00430 LACWKB10_1232 LACWKB8_1245
OG0000179: Ga0061073_0024 Ga0070887_120183 Ga0072400_10859 Ga0072402_105720 Ga0072403_115206 Ga0072404_110545 Ga0133561_111209 Ga0133562_121054 Ga0133563_111094 Ga0133564_111299 Ga0225908_10811 Ga0226839_109129 Ga0226840_112122 Ga0226842_104824 Ga0226843_107585 Ga0226847_106917 Ga0226852_108542 Ga0227359_100960 Ga0307804_111348 Ga0311394_111491 Ga0312303_111674 Ga0312304_111432 H3R21_00095 H3R22_00480 H3R25_04045 H3T43_02160 H3T47_06060 H3T48_02660 H3U49_00435 LACWKB10_1233 LACWKB8_1244
OG0000180: Ga0061073_0026 Ga0070887_120180 Ga0072400_10856 Ga0072402_105717 Ga0072403_115203 Ga0072404_110542 Ga0133561_111206 Ga0133562_121051 Ga0133563_111091 Ga0133564_111296 Ga0225908_1088 Ga0226839_109126 Ga0226840_112119 Ga0226842_104821 Ga0226843_107582 Ga0226847_106914 Ga0226852_108538 Ga0227359_100957 Ga0307804_111345 Ga0311394_111488 Ga0312303_111677 Ga0312304_111429 H3R21_00105 H3R22_00490 H3R25_04035 H3T43_02150 H3T47_06050 H3T48_02670 H3U49_00445 LACWKB10_1235 LACWKB8_1242
OG0000182: Ga0061073_0028 Ga0070887_120177 Ga0072400_10854 Ga0072402_105714 Ga0072403_115200 Ga0072404_110539 Ga0133561_111204 Ga0133562_121048 Ga0133563_111089 Ga0133564_111293 Ga0225908_1085 Ga0226839_109123 Ga0226840_112116 Ga0226842_104819 Ga0226843_107577 Ga0226847_106909 Ga0226852_108533 Ga0227359_100954 Ga0307804_111342 Ga0311394_111477 Ga0312303_111680 Ga0312304_111426 H3R21_00115 H3R22_00505 H3R25_04025 H3T43_02135 H3T47_06040 H3T48_02680 H3U49_00460 LACWKB10_1238 LACWKB8_1240
OG0000183: Ga0061073_0040 Ga0070887_120166 Ga0072400_10849 Ga0072402_105702 Ga0072403_115189 Ga0072404_110527 Ga0133561_111199 Ga0133562_121036 Ga0133563_111076 Ga0133564_111282 Ga0225908_107103 Ga0226839_109112 Ga0226840_112104 Ga0226842_104807 Ga0226843_107569 Ga0226847_106895 Ga0226852_108524 Ga0227359_100948 Ga0307804_111329 Ga0311394_111448 Ga0312303_111688 Ga0312304_111419 H3R21_00175 H3R22_00535 H3R25_03930 H3T43_02080 H3T47_06015 H3T48_02740 H3U49_00510 LACWKB10_1249 LACWKB8_1235
OG0000184: Ga0061073_0041 Ga0070887_120165 Ga0072400_10848 Ga0072402_105701 Ga0072403_115188 Ga0072404_110526 Ga0133561_111198 Ga0133562_121035 Ga0133563_111075 Ga0133564_111281 Ga0225908_107102 Ga0226839_109111 Ga0226840_112103 Ga0226842_104806 Ga0226843_107568 Ga0226847_106894 Ga0226852_108523 Ga0227359_100947 Ga0307804_111328 Ga0311394_111447 Ga0312303_111689 Ga0312304_111418 H3R21_00180 H3R22_00540 H3R25_03925 H3T43_02075 H3T47_06010 H3T48_02745 H3U49_00515 LACWKB10_1250 LACWKB8_1234
OG0000185: Ga0061073_0042 Ga0070887_120164 Ga0072400_10847 Ga0072402_105700 Ga0072403_115187 Ga0072404_110525 Ga0133561_111197 Ga0133562_121034 Ga0133563_111074 Ga0133564_111280 Ga0225908_107101 Ga0226839_109110 Ga0226840_112102 Ga0226842_104805 Ga0226843_107567 Ga0226847_106893 Ga0226852_108522 Ga0227359_100946 Ga0307804_111327 Ga0311394_111446 Ga0312303_111690 Ga0312304_111417 H3R21_00185 H3R22_00545 H3R25_03920 H3T43_02070 H3T47_06005 H3T48_02750 H3U49_00520 LACWKB10_1251 LACWKB8_1233
